Episode:578, reward92.5, passenger47
Episode:579, reward-80.2, passenger39
Episode:580, reward-144.6, passenger34
Episode:581, reward-163.1, passenger29
Episode:582, reward-318.7, passenger12
Episode:583, reward97.2, passenger49
Episode:584, reward-303.9, passenger16
Episode:585, reward-279.6, passenger16
Episode:586, reward-144.7, passenger24
Episode:587, reward-48.8, passenger38
Episode:588, reward363.0, passenger79
Episode:589, reward-425.2, passenger0
Episode:590, reward62.0, passenger48
Episode:591, reward-228.8, passenger29
Episode:592, reward-278.8, passenger15
Episode:593, reward-228.1, passenger27
Episode:594, reward-307.7, passenger14
Episode:595, reward-418.0, passenger0
Episode:596, reward-358.6, passenger9
Episode:597, reward-256.4, passenger14
Episode:598, reward3.6, passenger44
Episode:599, reward12.4, passenger47
Episode:600, reward-476.5, passenger0
Episode:601, reward-103.8, passenger28
Episode:602, reward-172.7, passenger23
Episode:603, reward-79.2, passenger31
Episode:604, reward-161.6, passenger26
Episode:605, reward-148.6, passenger30
Episode:606, reward-183.6, passenger22
Episode:607, reward-220.5, passenger22
Episode:608, reward254.2, passenger71
Episode:609, reward-349.2, passenger13
Episode:610, reward-34.4, passenger38
Episode:611, reward-458.5, passenger0
Episode:612, reward53.7, passenger46
Episode:613, reward-105.2, passenger32
Episode:614, reward73.3, passenger44
Episode:615, reward-288.2, passenger11
Episode:616, reward80.6, passenger45
Episode:617, reward-23.9, passenger35
Episode:618, reward-328.7, passenger11
Episode:619, reward-206.9, passenger23
Episode:620, reward-272.4, passenger25
Episode:621, reward-205.5, passenger19
Episode:622, reward-112.4, passenger32
Episode:623, reward-87.8, passenger35
Episode:624, reward-175.2, passenger25
Episode:625, reward56.6, passenger48
Episode:626, reward5.5, passenger41
Episode:627, reward-166.4, passenger23
Episode:628, reward-0.9, passenger40
Episode:629, reward-375.9, passenger16
Episode:630, reward-23.0, passenger35
Episode:631, reward-199.2, passenger19
Episode:632, reward-112.0, passenger27
Episode:633, reward-97.7, passenger35
Episode:634, reward-41.7, passenger37
Episode:635, reward-161.1, passenger22
Episode:636, reward61.0, passenger47
Episode:637, reward-211.9, passenger27
Episode:638, reward310.5, passenger67
Episode:639, reward85.5, passenger49
Episode:640, reward105.9, passenger55
Episode:641, reward-223.0, passenger24
Episode:642, reward33.5, passenger42
Episode:643, reward-69.2, passenger32
Episode:644, reward-279.1, passenger12
Episode:645, reward-176.8, passenger27
Episode:646, reward576.4, passenger102
Episode:647, reward-417.0, passenger1
Episode:648, reward-219.7, passenger21
Episode:649, reward-8.9, passenger41
Episode:650, reward-357.1, passenger15
Episode:651, reward-301.9, passenger9
Episode:652, reward-15.1, passenger42
Episode:653, reward-274.6, passenger21
Episode:654, reward34.1, passenger48
Episode:655, reward48.1, passenger44
Episode:656, reward43.3, passenger45
Episode:657, reward-33.6, passenger37
Episode:658, reward-148.0, passenger27
Episode:659, reward-321.7, passenger9
Episode:660, reward210.8, passenger60
Episode:661, reward-6.0, passenger42
Episode:662, reward-300.6, passenger13
Episode:663, reward-262.6, passenger24
Episode:664, reward-42.8, passenger35
Episode:665, reward-472.0, passenger0
Episode:666, reward-136.2, passenger28
Episode:667, reward-256.4, passenger14
Episode:668, reward-336.3, passenger7
Episode:669, reward3.3, passenger37
Episode:670, reward21.6, passenger39
Episode:671, reward-197.3, passenger20
Episode:672, reward-373.5, passenger4
Episode:673, reward-203.8, passenger27
Episode:674, reward384.1, passenger74
Episode:675, reward-420.5, passenger2
Episode:676, reward-274.6, passenger12
Episode:677, reward-66.1, passenger36
Episode:678, reward-58.1, passenger35
Episode:679, reward-145.1, passenger29
Episode:680, reward-228.3, passenger16
Episode:681, reward-41.0, passenger35
Episode:682, reward128.5, passenger56
Episode:683, reward-438.1, passenger6
Episode:684, reward-148.3, passenger24
Episode:685, reward-209.7, passenger22
Episode:686, reward-293.3, passenger14
Episode:687, reward41.8, passenger44
Episode:688, reward-430.5, passenger1
Episode:689, reward-276.9, passenger16
Episode:690, reward-248.6, passenger20
Episode:691, reward32.4, passenger40
Episode:692, reward-384.3, passenger4
Episode:693, reward-127.3, passenger27
Episode:694, reward-415.3, passenger0
Episode:695, reward-194.0, passenger26
Episode:696, reward-2.6, passenger41
Episode:697, reward-53.5, passenger36
Episode:698, reward-219.0, passenger19
Episode:699, reward-328.6, passenger12
Episode:700, reward-34.3, passenger39
Episode:701, reward-301.5, passenger13
Episode:702, reward-409.3, passenger6
Episode:703, reward-118.5, passenger34
Episode:704, reward-162.3, passenger28
Episode:705, reward-342.3, passenger10
Episode:706, reward-92.5, passenger33
Episode:707, reward-72.5, passenger35
Episode:708, reward-163.1, passenger29
Episode:709, reward-54.9, passenger40
Episode:710, reward-117.8, passenger32
Episode:711, reward-74.3, passenger35
Episode:712, reward-414.9, passenger4
Episode:713, reward-239.6, passenger20
Episode:714, reward82.9, passenger50
Episode:715, reward-246.9, passenger19
Episode:716, reward-114.2, passenger32
Episode:717, reward-233.0, passenger23
Episode:718, reward97.3, passenger50
Episode:719, reward-312.8, passenger8
